Airdate,Season,Episode,Theme,Signature,Signature Time (min),Technical,Technical Time (min),Showstopper,Showstopper Time (min),MyRating (out of 10),MyViewership
10/19/2016,7,9,Pâtisserie,24 Savoury Palmiers,180.0,Savarin,150.0,36 Fondant Fancies,270.0,8.3,49.41
10/26/2016,7,10,Final,Meringue Crowns,180.0,Victoria Sandwich (without a Recipe),90.0,Picnics,300.0,8.4,57.47
8/29/2017,8,1,Cake,Fruity Cake,120.0,12 Chocolate Mini Rolls,120.0,Illusion Cake,240.0,7.7,35.12
9/5/2017,8,2,Biscuit,24 Sandwich Biscuits,135.0,12 Fortune Cookies,120.0,Biscuit Board Games,210.0,7.8,34.27
9/12/2017,8,3,Bread,12 Teacakes,165.0,Cottage Loaf,150.0,Multicoloured Bread Sculpture,270.0,7.5,30.62
9/19/2017,8,4,Caramel,18 Millionaire Shortbreads,135.0,12 Stroopwafels,105.0,Caramel Cake,210.0,7.8,30.47
9/26/2017,8,5,Pudding,Steamed School Pudding,180.0,6 Molten Chocolate Puddings,60.0,Ornamental Trifle Terrine,270.0,7.4,29.82
10/3/2017,8,6,Pastry,4 Shortcrust Savoury Pies,150.0,12 Pastéis de Nata,120.0,Family-sized Hand-raised Pie,240.0,7.6,31.66
10/10/2017,8,7,Italian,18 Cannolis,150.0,Pizza Margherita,90.0,24 Sfogliatelles,270.0,7.3,32.17
10/17/2017,8,8,Forgotten bakes,4 Bedfordshire Clangers,120.0,Cumberland Rum Nicky,90.0,Victorian Savoy Cake,240.0,7.8,31.23
10/24/2017,8,9,Pâtisserie,24 Choux Buns,150.0,9 Les Misérables Slices,180.0,Meringue Centrepiece,285.0,7.7,32.24
10/31/2017,8,10,Final,12 Small Loaves,180.0,10 Ginger Biscuits,150.0,Large Entremet,300.0,7.9,33.87
8/28/2018,9,1,Biscuit,24 Regional Biscuits,120.0,8 Wagon Wheels,135.0,3D Biscuit Self-portrait,240.0,7.6,34.75
9/4/2018,9,2,Cake,16 Traybakes,120.0,Le Gateau Vert,135.0,Chocolate Collar Cake,240.0,7.4,33.87
9/11/2018,9,3,Bread,12 Chelsea Buns,180.0,8 Non-yeasted Garlic Naan,60.0,Korovai,300.0,7.6,33.74
9/18/2018,9,4,Desserts,Meringue Roulade,105.0,Raspberry Blancmange with 12 Langues du Chat Biscuits,150.0,Melting Chocolate Ball Dessert,180.0,7.5,33.29
9/25/2018,9,5,Spice,Ginger Cake,120.0,12 Ma'Amoul,90.0,Spiced Biscuit Chandelier,240.0,7.6,30.9
10/2/2018,9,6,Pastry,12 Samosas,120.0,6 Puits D'Amour,120.0,Shaped Banquet Pie,210.0,7.3,31.49
10/9/2018,9,7,Vegan,8 Savoury Vegan Tartlets,120.0,Vegan Tropical Fruit Pavlova,150.0,Vegan Celebratory Cake,240.0,7.6,32.92
10/16/2018,9,8,Danish,2 Smørrebrød,210.0,14 Æbleskiver,60.0,Kagemand/Kagekone,270.0,7.5,34.59
10/23/2018,9,9,Pâtisserie,24 Madeleines,90.0,Torta Setteveli,270.0,Parisian Pâtisserie Window,300.0,7.2,33.86
10/30/2018,9,10,Final,12 Iced Doughnuts,180.0,6 Campfire Pita Breads,90.0,Landscape Desert,270.0,7.7,37.76
8/27/2019,10,1,Cake,Fruit Cake,150.0,6 Angel Cake Slices,105.0,Birthday Cake,240.0,7.9,36.79
9/3/2019,10,2,Biscuit,12 Decorated Chocolate Biscuit Bars,150.0,12 Fig Rolls,90.0,3D Biscuit Sculpture,240.0,7.4,35.87
9/10/2019,10,3,Bread,Tear & Share Loaf,180.0,8 White Burger Baps & 4 Veggie Burgers,150.0,Decorative Loaf Display,300.0,7.5,37.16
9/17/2019,10,4,Dairy,Cultured Dairy Cake,,12 Maids of Honour,,Display of Mishti,,7.6,35.27
9/24/2019,10,5,The Roaring Twenties,4 Custard Pies,150.0,18 Beignet Soufflés,90.0,Prohibition Era Cake,240.0,6.8,34.38
10/1/2019,10,6,Desserts,Layered Meringue Cake,165.0,6 Verrines,150.0,Celebratory Bombe,270.0,7.8,33.06
10/8/2019,10,7,Festival,24 Festival Buns,,12 Sicilian Cassatelles,,Kek Lapis Sarawak,,7.7,33.42
